Country,"Density
(P/Km2)",Armed Forces size,Birth Rate,CPI,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Life expectancy,Minimum wage,Population,Population: Labor force participation (%),Unemployment rate,Urban_population,Latitude,Longitude
Afghanistan,60,323,32.49,149.9,19101353833,104.0,9.7,64.5,0.43,38041754,48.9,11.12,9797273,33.93911,67.709953
Albania,105,9,11.78,119.05,15278077447,107.0,55.0,78.5,1.12,2854191,55.7,12.33,1747593,41.153332,20.168331
Algeria,18,317,24.28,151.36,169988236398,109.9,51.4,76.7,0.95,43053054,41.2,11.7,31510100,28.033886,1.659626
Argentina,17,105,17.02,232.75,449663446954,109.7,90.0,76.5,3.35,44938712,61.3,9.79,41339571,-38.416097,-63.616672
Armenia,104,49,13.99,129.18,13672802158,92.7,54.6,74.9,0.66,2957731,55.6,16.99,1869848,40.069099,45.038189
Australia,3,58,12.6,119.8,1392680589329,100.3,113.1,82.7,13.59,25766605,65.5,5.27,21844756,-25.274398,133.775136
Austria,109,21,9.7,118.06,446314739528,103.1,85.1,81.6,NULL,8877067,60.7,4.67,5194416,47.516231,14.550072
Azerbaijan,123,82,14.0,156.32,39207000000,99.7,27.7,72.9,0.47,10023318,66.5,5.51,5616165,40.143105,47.576927
Bangladesh,1265,221,18.18,179.68,302571254131,116.5,20.6,72.3,0.51,167310838,59.0,4.19,60987417,23.684994,90.356331
Belgium,383,32,10.3,117.11,529606710418,103.9,79.7,81.6,10.31,11484055,53.6,5.59,11259082,50.503887,4.469936
Brazil,25,730,13.92,167.4,1839758040766,115.4,51.3,75.7,1.53,212559417,63.9,12.08,183241641,-14.235004,-51.92528
Bulgaria,64,31,8.9,114.42,86000000000,89.3,71.0,74.9,1.57,6975761,55.4,4.34,5256027,42.733883,25.48583
Cambodia,95,191,22.46,127.63,27089389787,107.4,13.7,69.6,NULL,16486542,82.3,0.68,3924621,12.565679,104.990963
Canada,4,72,10.1,116.76,1736425629520,100.9,68.9,81.9,9.51,36991981,65.1,5.56,30628482,56.130366,-106.346771
Chile,26,122,12.43,131.91,282318159745,101.4,88.5,80.0,2.0,18952038,62.6,7.09,16610135,-35.675147,-71.542969
China,153,2695000,10.9,125.08,19910000000000,100.2,50.6,77.0,0.87,1397715000,68.0,4.32,842933962,35.86166,104.195397
Colombia,46,481,14.88,140.95,323802808108,114.5,55.3,77.1,1.23,50339443,68.8,9.71,40827302,4.570868,-74.297333
Costa Rica,100,10,13.97,128.85,61773944174,113.3,55.2,80.1,1.84,5047561,62.1,11.85,4041885,9.748917,-83.753428
Croatia,73,18,9.0,109.82,60415553039,96.5,67.9,78.1,2.92,4067500,51.2,6.93,2328318,45.1,15.2
Cyprus,131,16,10.46,102.51,24564647935,99.3,75.9,80.8,NULL,1198575,63.1,7.27,800708,35.126413,33.429859
Czech Republic,139,23,10.7,116.48,246489245495,100.7,64.1,79.0,3.0,10669709,60.6,1.93,7887156,49.817492,15.472962
Denmark,137,15,10.6,110.35,348078018464,101.3,80.6,81.0,NULL,5818553,62.2,4.91,5119978,56.26392,9.501785
Dominican Republic,225,71,19.51,135.5,88941298258,105.7,59.9,73.9,0.4,10738958,64.3,5.84,8787475,18.735693,-70.162651
Ecuador,71,41,19.72,124.14,107435665000,103.3,44.9,76.8,2.46,17373662,68.0,3.97,11116711,-1.831239,-78.183406
Egypt,103,836,26.38,288.57,303175127598,106.3,35.2,71.8,NULL,100388073,46.4,10.76,42895824,26.820553,30.802498
El Salvador,313,42,18.25,111.23,27022640000,94.8,29.4,73.1,0.5,6453553,59.1,4.11,4694702,13.794185,-88.89653
Estonia,31,6,10.9,122.14,31386949981,97.2,69.6,78.2,3.14,1331824,63.6,5.11,916024,58.595272,25.013607
Ethiopia,115,138,32.34,143.86,96107662398,101.0,8.1,66.2,NULL,112078730,79.6,2.08,23788710,9.145,40.489673
Finland,18,25,8.6,112.33,268761201365,100.2,88.2,81.7,NULL,5520314,59.1,6.59,4716888,61.92411,25.748151
France,119,307,11.3,110.05,2715518274227,102.5,65.6,82.5,11.16,67059887,55.1,8.43,54123364,46.227638,2.213749
Georgia,57,26,13.47,133.61,17743195770,98.6,63.9,73.6,0.05,3720382,68.3,14.4,2196476,42.315407,43.356892
Germany,240,180,9.5,112.85,3845630030824,104.0,70.2,80.9,9.99,83132799,60.8,3.04,64324835,51.165691,10.451526
Greece,81,146,8.1,101.87,209852761469,99.6,136.6,81.3,4.46,10716322,51.8,17.24,8507474,39.074208,21.824312
Guatemala,167,43,24.56,142.92,76710385880,101.9,21.8,74.1,1.6,16604026,62.3,2.46,8540945,15.783471,-90.230759
Honduras,89,23,21.6,150.34,25095395475,91.5,26.2,75.1,1.01,9746117,68.8,5.39,5626433,15.199999,-86.241905
Hungary,107,40,9.6,121.64,160967157504,100.8,48.5,75.8,2.62,9769949,56.5,3.4,6999582,47.162494,19.503304
Iceland,3,0,12.0,129.0,24188035739,100.4,71.8,82.7,NULL,361313,75.0,2.84,33911,64.963051,-19.020835
India,464,3031000,17.86,180.44,2611000000000,113.0,28.1,69.4,0.3,1366417754,49.3,5.36,471031528,20.593684,78.96288
Indonesia,151,676,18.07,151.18,1119190780753,106.4,36.3,71.5,0.48,270203917,67.5,4.69,151509724,-0.789275,113.921327
Iran,52,563,18.78,550.93,445345282123,110.7,68.1,76.5,1.58,82913906,44.7,11.38,62509623,32.427908,53.688046
Iraq,93,209,29.08,119.86,234094042939,108.7,16.2,70.5,1.24,39309783,43.0,12.82,27783368,33.223191,43.679291
Israel,400,178,20.8,108.15,395098666122,104.9,63.4,82.8,7.58,9053300,64.0,3.86,8374393,31.046051,34.851612
Italy,206,347,7.3,110.62,2001244392042,101.9,61.9,82.9,NULL,60297396,49.6,9.89,42651966,41.87194,12.56738
Jamaica,273,4,16.1,162.47,16458071068,91.0,27.1,74.4,1.33,2948279,66.0,8.0,1650594,18.109581,-77.297508
Japan,347,261,7.4,105.48,5081769542380,98.8,63.2,84.2,6.77,126226568,61.7,2.29,115782416,36.204824,138.252924
Jordan,115,116,21.98,125.6,43743661972,81.5,34.4,74.4,1.49,10101694,39.3,14.72,9213048,30.585164,36.238414
Kazakhstan,7,71,21.77,182.75,180161741180,104.4,61.7,73.2,0.41,18513930,68.8,4.59,10652915,48.019573,66.923684
Kenya,94,29,28.75,180.51,95503088538,103.2,11.5,66.3,0.25,52573973,74.7,2.64,14461523,-0.023559,37.906193
Kuwait,240,25,13.94,126.6,134761198946,92.4,54.4,75.4,0.95,4207083,73.5,2.18,4207083,29.31166,47.481766
Latvia,30,6,10.0,116.86,34117202555,99.4,88.1,74.7,2.8,1912789,61.4,6.52,1304943,56.879635,24.603189
Lebanon,667,80,17.55,130.02,53367042272,95.1,26.3,78.9,2.15,6855713,47.0,6.23,6084994,33.854721,35.862285
Libya,4,0,18.83,125.71,52076250948,109.0,60.5,72.7,1.88,6777452,49.7,18.56,5448597,26.3351,17.228331
Lithuania,43,34,10.0,118.38,54219315600,103.9,72.4,75.7,2.41,2786844,61.6,6.35,1891013,55.169438,23.881275
Luxembourg,242,2,10.3,115.09,71104919108,102.3,19.2,82.1,13.05,645397,59.3,5.36,565488,49.815273,6.129583
Malaysia,99,136,16.75,121.46,364701517788,105.3,45.1,76.0,0.93,32447385,64.3,3.32,24475766,4.210484,101.975766
Maldives,1802,5,14.2,99.7,5729248472,97.1,31.2,78.6,NULL,530953,69.8,6.14,213645,3.202778,73.22068
Mexico,66,336,17.6,141.54,1258286717125,105.8,40.2,75.0,0.49,126014024,60.7,3.42,102626859,23.634501,-102.552784
Moldova,123,7,10.1,166.2,11955435457,90.6,39.8,71.8,0.31,2657637,43.1,5.47,1135502,47.411631,28.369885
Mongolia,2,18,24.13,195.76,13852850259,104.0,65.6,69.7,0.65,3225167,59.7,6.01,2210626,46.862496,103.846656
Morocco,83,246,18.94,111.07,118725279596,113.9,35.9,76.5,1.6,36910560,45.3,9.02,22975026,31.791702,-7.09262
Namibia,3,16,28.64,157.97,12366527719,124.2,22.9,63.4,NULL,2494530,59.5,20.27,1273258,-22.95764,18.49041
Nepal,203,112,19.89,188.73,30641380604,142.1,12.4,70.5,0.36,28608710,83.8,1.41,5765513,28.394857,84.124008
Netherlands,508,41,9.7,115.91,909070395161,104.2,85.0,81.8,10.29,17332850,63.6,3.2,15924729,52.132633,5.291266
New Zealand,18,9,11.98,114.24,206928765544,100.0,82.0,81.9,11.49,4841000,69.9,4.07,4258860,-40.900557,174.885971
Nigeria,226,215,37.91,267.51,448120428859,84.7,10.2,54.3,0.54,200963599,52.9,8.1,102806948,9.081999,8.675277
Norway,15,23,10.4,120.27,403336363636,100.3,82.0,82.8,NULL,5347896,63.8,3.35,4418218,60.472024,8.468946
Oman,16,47,19.19,113.53,76983094928,103.4,38.0,77.6,4.33,5266535,72.4,2.67,4250777,21.4735329,55.975413
Pakistan,287,936,28.25,182.32,304400000000,94.3,9.0,67.1,0.69,216565318,52.6,4.45,79927762,30.375321,69.345116
Panama,58,26,18.98,122.07,66800800000,94.4,47.8,78.3,1.53,4246439,66.6,3.9,2890084,8.537981,-80.782127
Papua New Guinea,20,4,27.07,155.99,24969611435,108.5,1.8,64.3,1.16,8776109,47.2,2.46,1162834,-6.314993,143.95555
Paraguay,18,27,20.57,143.82,38145288940,104.4,34.6,74.1,1.55,7044636,72.1,4.81,4359150,-23.442503,-58.443832
Peru,26,158,17.95,129.78,226848050820,106.9,70.7,76.5,1.28,32510453,77.6,3.31,25390339,-9.189967,-75.015152
Philippines,368,153,20.55,129.61,376795508680,107.5,35.5,71.1,1.12,108116615,59.6,2.15,50975903,12.879721,121.774017
Poland,124,191,10.2,114.11,592164400688,100.0,67.8,77.6,2.93,37970874,56.7,3.47,22796574,51.919438,19.145136
Portugal,111,52,8.5,110.62,237686075635,106.2,63.9,81.3,3.78,10269417,58.8,6.33,6753579,39.399872,-8.224454
Qatar,248,22,9.54,115.38,183466208791,103.8,17.9,80.1,NULL,2832067,86.8,0.09,2809071,25.354826,51.183884
Romania,84,126,9.6,123.78,250077444017,85.2,49.4,75.4,2.25,19356544,54.7,3.98,10468793,45.943161,24.96676
Russia,9,1454000,11.5,180.75,1699876578871,102.6,81.9,72.7,0.53,144373535,61.8,4.59,107683889,61.52401,105.318756
Saudi Arabia,16,252,17.8,118.4,792966838162,99.8,68.0,75.0,3.85,34268528,55.9,5.93,28807838,23.885942,45.079162
Serbia,100,32,9.2,144.0,51409167351,100.3,67.2,75.5,1.57,6944975,54.9,12.69,3907243,44.016521,21.005859
Singapore,8358,81,8.8,114.41,372062527489,100.6,84.8,83.1,NULL,5703569,70.5,4.11,5703569,1.352083,103.819836
Slovakia,114,16,10.6,115.34,105422304976,98.7,46.6,77.2,3.11,5454073,59.5,5.56,2930419,48.669026,19.699024
Slovenia,103,7,9.4,111.05,53742159517,100.4,78.6,81.0,5.25,2087946,58.4,4.2,1144654,46.151241,14.995463
South Africa,49,80,20.51,158.93,351431649241,100.9,22.4,63.9,NULL,58558270,56.0,28.18,39149717,-30.559482,22.937506
South Korea,527,634,6.4,115.16,2029000000000,98.1,94.3,82.6,6.49,51709098,63.0,4.15,42106719,35.907757,127.766922
Spain,94,196,7.9,110.96,1394116310769,102.7,88.9,83.3,5.6,47076781,57.5,13.96,37927409,40.463667,-3.74922
Sri Lanka,341,317,15.83,155.53,84008783756,100.2,19.6,76.8,0.35,21803000,53.9,4.2,4052088,7.873054,80.771797
Sweden,25,30,11.4,110.51,530832908738,126.6,67.0,82.5,NULL,10285453,64.6,6.48,9021165,60.128161,18.643501
Switzerland,219,21,10.0,99.55,703082435360,105.2,59.6,83.6,NULL,8574832,68.3,4.58,6332428,46.818188,8.227512
Syria,95,239,23.69,143.2,40405006007,81.7,40.1,71.8,1.02,17070135,44.1,8.37,9358019,34.802075,38.996815
Thailand,137,455,10.34,113.27,543649976166,99.8,49.3,76.9,1.06,69625582,67.3,0.75,35294600,15.870032,100.992541
Trinidad and Tobago,273,4,12.94,141.75,24100202834,106.2,12.0,73.4,2.25,1394973,60.0,2.69,741944,10.691803,-61.222503
Tunisia,76,48,17.56,155.33,38797709924,115.4,31.7,76.5,0.47,11694719,46.1,16.02,8099061,33.886917,9.537499
Turkey,110,512,16.03,234.44,754411708203,93.2,23.9,77.4,3.45,83429615,52.8,13.49,63097818,38.963745,35.243322
Ukraine,75,297,8.7,281.66,153781069118,99.0,82.7,71.6,0.84,44385155,54.2,8.88,30835699,48.379433,31.16558
United Arab Emirates,118,63,10.33,114.52,421142267938,108.4,36.8,77.8,NULL,9770529,82.1,2.35,8479744,23.424076,53.847818
United-Kingdom,281,148,11.0,119.62,2827113184696,101.2,60.0,81.3,10.13,66834405,62.8,3.85,55908316,55.378051,-3.435973
US,36,1359000,11.6,117.24,21427700000000,101.8,88.2,78.5,7.25,328239523,62.0,14.7,270663028,37.09024,-95.712891
Uruguay,20,22,13.86,202.92,56045912952,108.5,63.1,77.8,1.66,3461734,64.0,8.73,3303394,-32.522779,-55.765835
Venezuela,32,343,17.88,2740.27,482359318768,97.2,79.3,72.1,0.01,28515829,59.7,8.8,25162368,6.42375,-66.58973
Vietnam,314,522,16.75,163.52,261921244843,110.6,28.5,75.3,0.73,96462106,77.4,2.01,35332140,14.058324,108.277199
Zimbabwe,38,51,30.68,105.51,21440758800,109.9,10.0,61.2,NULL,14645468,83.1,4.95,4717305,-19.015438,29.154857
